Parameters,MRR20
Epoch:1-Lr:0.0089-BatchSize:200-L2:1e-05,0.3906451253278703
Epoch:1-Lr:0.0089-BatchSize:200-L2:1e-05,0.3906451253278703
Epoch:3-Lr:0.0056-BatchSize:200-L2:1e-05,0.3866127275822164
Epoch:1-Lr:0.0089-BatchSize:32-L2:1e-05,0.384926991975173
Epoch:3-Lr:0.0012-BatchSize:20-L2:1e-05,0.3784111850139082
Epoch:1-Lr:0.0023-BatchSize:200-L2:1e-05,0.3929988393684788
Epoch:1-Lr:0.0089-BatchSize:20-L2:1e-05,0.3514728444902265
Epoch:2-Lr:0.01-BatchSize:20-L2:1e-05,0.3367440153539967
Epoch:3-Lr:0.01-BatchSize:32-L2:1e-05,0.3707279355870729
Epoch:3-Lr:1e-04-BatchSize:20-L2:1e-05,0.3857700398426676
Epoch:2-Lr:0.0023-BatchSize:20-L2:1e-05,0.3759597323379765
Epoch:1-Lr:0.0023-BatchSize:128-L2:1e-05,0.3885395933318706
Epoch:2-Lr:0.01-BatchSize:100-L2:1e-05,0.3858832252272244
Epoch:2-Lr:0.0034-BatchSize:100-L2:1e-05,0.3912205844222017
Epoch:3-Lr:0.0056-BatchSize:20-L2:1e-05,0.3742503087503622
Epoch:2-Lr:0.0023-BatchSize:100-L2:1e-05,0.3871772759491166
Epoch:2-Lr:0.0089-BatchSize:100-L2:1e-05,0.3926259814678109
Epoch:3-Lr:0.0045-BatchSize:128-L2:1e-05,0.3834405193235723
Epoch:1-Lr:0.0023-BatchSize:100-L2:1e-05,0.3936364629531664
Epoch:1-Lr:0.0045-BatchSize:20-L2:1e-05,0.3731942967967852
Epoch:4-Lr:1e-04-BatchSize:100-L2:1e-05,0.3834232434529475
Epoch:3-Lr:0.0056-BatchSize:128-L2:1e-05,0.3863028056445198
Epoch:3-Lr:0.0034-BatchSize:32-L2:1e-05,0.3847179606206105
Epoch:2-Lr:0.0056-BatchSize:100-L2:1e-05,0.3816587060888119
Epoch:4-Lr:0.0034-BatchSize:32-L2:1e-05,0.3848849909710318
Epoch:4-Lr:0.0089-BatchSize:32-L2:1e-05,0.3779534560772211
Epoch:3-Lr:0.01-BatchSize:128-L2:1e-05,0.3941356288930971
Epoch:3-Lr:1e-04-BatchSize:100-L2:1e-05,0.3812088376911387
Epoch:3-Lr:0.0089-BatchSize:128-L2:1e-05,0.3912628942004685
Epoch:4-Lr:0.0089-BatchSize:100-L2:1e-05,0.3868024463702243
Epoch:5-Lr:0.0067-BatchSize:100-L2:1e-05,0.3903868986131559
Epoch:1-Lr:0.0045-BatchSize:32-L2:1e-05,0.3785224879924873
Epoch:1-Lr:0.0078-BatchSize:20-L2:1e-05,0.3647875610664211
Epoch:2-Lr:0.0045-BatchSize:200-L2:1e-05,0.3831871085918087
Epoch:1-Lr:0.0034-BatchSize:128-L2:1e-05,0.3928831061832428
Epoch:1-Lr:0.0012-BatchSize:32-L2:1e-05,0.3873435253444599
Epoch:4-Lr:0.0056-BatchSize:32-L2:1e-05,0.3856086480617143
Epoch:2-Lr:0.0067-BatchSize:20-L2:1e-05,0.3698583559940889
Epoch:1-Lr:0.0023-BatchSize:128-L2:1e-05,0.3970606664860584
Epoch:1-Lr:0.0078-BatchSize:32-L2:1e-05,0.3839696014856369
Epoch:5-Lr:0.0056-BatchSize:100-L2:1e-05,0.3829713251638684
Epoch:5-Lr:1e-04-BatchSize:100-L2:1e-05,0.3771099568787674
Epoch:5-Lr:0.0089-BatchSize:128-L2:1e-05,0.3890986139941453
Epoch:1-Lr:0.0056-BatchSize:128-L2:1e-05,0.3878584506807079
Epoch:2-Lr:0.0023-BatchSize:20-L2:1e-05,0.3747003260684015
Epoch:3-Lr:0.01-BatchSize:100-L2:1e-05,0.3937423592941798
Epoch:1-Lr:0.0034-BatchSize:200-L2:1e-05,0.3922474763720603
Epoch:3-Lr:0.0034-BatchSize:128-L2:1e-05,0.3884143231995812
Epoch:7-Lr:0.0067-BatchSize:100-L2:1e-05,0.3857118579638711
Epoch:1-Lr:0.01-BatchSize:128-L2:1e-05,0.3430296470122199
Epoch:5-Lr:0.0012-BatchSize:128-L2:1e-05,0.3299455227392782
Epoch:1-Lr:0.01-BatchSize:128-L2:1e-05,0.3754500187018695
Epoch:1-Lr:0.01-BatchSize:128-L2:1e-05,0.3889403757640183
Epoch:2-Lr:0.01-BatchSize:128-L2:1e-05,0.2983064672029411
Epoch:7-Lr:0.01-BatchSize:128-L2:1e-05,0.3037302516813362
Epoch:7-Lr:0.01-BatchSize:128-L2:1e-05,0.275343929544433
Epoch:4-Lr:0.01-BatchSize:128-L2:1e-05,0.25619564966913
Epoch:3-Lr:0.0045-BatchSize:200-L2:1e-05,0.5148230602266013
Epoch:4-Lr:0.0045-BatchSize:200-L2:1e-05,0.4081846385820947
Epoch:4-Lr:0.0045-BatchSize:200-L2:1e-05,0.3279477523597033
