Parameters,MRR20
Epoch:14-Lr:0.0023-BatchSize:100-EmbeddingSize:100-Dropout:0.3-L2:0.001,0.2632136357693574
Epoch:2-Lr:0.01-BatchSize:100-EmbeddingSize:200-Dropout:0.1-L2:1e-06,0.2597800299585929
Epoch:18-Lr:1e-04-BatchSize:100-EmbeddingSize:50-Dropout:0.1-L2:0.0001,0.4510543778224698
Epoch:2-Lr:0.01-BatchSize:128-EmbeddingSize:300-Dropout:0.2-L2:1e-06,0.2401499070272049
Epoch:7-Lr:0.0078-BatchSize:20-EmbeddingSize:300-Dropout:0.3-L2:1e-06,0.3291337785478411
Epoch:5-Lr:0.0045-BatchSize:32-EmbeddingSize:100-Dropout:0.3-L2:1e-06,0.3909259322172926
Epoch:14-Lr:0.0078-BatchSize:100-EmbeddingSize:50-Dropout:0.2-L2:0.001,0.3325600186606319
Epoch:15-Lr:0.0078-BatchSize:100-EmbeddingSize:100-Dropout:0.1-L2:0.001,0.3010824987880306
Epoch:21-Lr:0.0034-BatchSize:100-EmbeddingSize:100-Dropout:0.3-L2:1e-05,0.5571142867092703
Epoch:20-Lr:0.0023-BatchSize:100-EmbeddingSize:50-Dropout:0.2-L2:0.0001,0.5074250038921455
Epoch:17-Lr:0.0012-BatchSize:32-EmbeddingSize:300-Dropout:0.2-L2:0.001,0.1646146149219449
Epoch:2-Lr:0.0034-BatchSize:20-EmbeddingSize:200-Dropout:0.3-L2:0.0001,0.1796195879082756
Epoch:12-Lr:0.0056-BatchSize:32-EmbeddingSize:300-Dropout:0.1-L2:0.0001,0.349154714179869
Epoch:9-Lr:0.0023-BatchSize:20-EmbeddingSize:100-Dropout:0.3-L2:0.0001,0.3046008353625541
Epoch:2-Lr:0.01-BatchSize:32-EmbeddingSize:100-Dropout:0.2-L2:0.0001,0.1073127788775766
Epoch:11-Lr:0.01-BatchSize:32-EmbeddingSize:200-Dropout:0.3-L2:0.001,0.1304740753889965
Epoch:10-Lr:0.0023-BatchSize:100-EmbeddingSize:300-Dropout:0.2-L2:0.001,0.2904654539861586
Epoch:10-Lr:0.0012-BatchSize:32-EmbeddingSize:100-Dropout:0.2-L2:0.001,0.1596726082077644
Epoch:20-Lr:0.0034-BatchSize:128-EmbeddingSize:300-Dropout:0.3-L2:1e-06,0.6885142050864405
Epoch:17-Lr:0.0034-BatchSize:32-EmbeddingSize:300-Dropout:0.1-L2:1e-06,0.5043924879374097
Epoch:23-Lr:0.0067-BatchSize:200-EmbeddingSize:50-Dropout:0.1-L2:1e-06,0.5827060921615149
Epoch:2-Lr:0.0089-BatchSize:20-EmbeddingSize:50-Dropout:0.1-L2:0.001,0.0153633781126585
Epoch:10-Lr:0.0056-BatchSize:128-EmbeddingSize:300-Dropout:0.3-L2:1e-06,0.5548006526107941
Epoch:11-Lr:0.0078-BatchSize:32-EmbeddingSize:200-Dropout:0.2-L2:0.001,0.1279830661321929
Epoch:17-Lr:0.0078-BatchSize:200-EmbeddingSize:50-Dropout:0.1-L2:1e-06,0.5650701708858572
Epoch:13-Lr:0.01-BatchSize:200-EmbeddingSize:50-Dropout:0.2-L2:0.001,0.4196149471349621
Epoch:23-Lr:0.0012-BatchSize:128-EmbeddingSize:100-Dropout:0.3-L2:0.001,0.3393338169962347
Epoch:19-Lr:0.0056-BatchSize:32-EmbeddingSize:50-Dropout:0.1-L2:1e-06,0.435491542559527
Epoch:7-Lr:0.0023-BatchSize:32-EmbeddingSize:100-Dropout:0.2-L2:0.0001,0.3764896541803408
Epoch:19-Lr:0.0078-BatchSize:200-EmbeddingSize:50-Dropout:0.3-L2:1e-06,0.5675595501037219
Epoch:13-Lr:0.0034-BatchSize:32-EmbeddingSize:50-Dropout:0.3-L2:1e-06,0.4230845807965523
Epoch:7-Lr:0.0034-BatchSize:20-EmbeddingSize:300-Dropout:0.2-L2:0.001,0.1211622648950314
Epoch:2-Lr:0.0012-BatchSize:20-EmbeddingSize:50-Dropout:0.2-L2:0.001,0.0674332860511628
Epoch:10-Lr:0.0067-BatchSize:32-EmbeddingSize:100-Dropout:0.2-L2:0.0001,0.339937669688359
Epoch:15-Lr:0.0023-BatchSize:200-EmbeddingSize:50-Dropout:0.1-L2:1e-05,0.5595995383420703
Epoch:22-Lr:0.0056-BatchSize:200-EmbeddingSize:50-Dropout:0.1-L2:1e-06,0.5891395404406664
Epoch:10-Lr:0.0001-BatchSize:128-EmbeddingSize:100-Dropout:0.1-L2:0.0001,0.31041596716069914
