Parameters,MRR20
Epoch:7-Lr:0.005-BatchSize:32-EmbeddingSize:150-L2:0.0001,0.1258642281479217
Epoch:15-Lr:0.0002-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.3145691533840166
Epoch:6-Lr:0.008-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.2793745607883142
Epoch:7-Lr:0.007-BatchSize:128-EmbeddingSize:150-L2:0.0001,0.2110774646251764
Epoch:3-Lr:0.003-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.3174789505569964
Epoch:5-Lr:0.0009-BatchSize:32-EmbeddingSize:150-L2:0.0001,0.2288053030761845
Epoch:4-Lr:0.007-BatchSize:32-EmbeddingSize:150-L2:0.0001,0.1556543454532718
Epoch:8-Lr:0.0003-BatchSize:20-EmbeddingSize:100-L2:1e-05,0.3174247545343611
Epoch:5-Lr:0.001-BatchSize:20-EmbeddingSize:100-L2:1e-05,0.3106440255426861
Epoch:4-Lr:0.0008-BatchSize:32-EmbeddingSize:150-L2:1e-05,0.2819553849559489
Epoch:4-Lr:0.006-BatchSize:32-EmbeddingSize:100-L2:0.0001,0.1298097330707996
Epoch:7-Lr:0.005-BatchSize:200-EmbeddingSize:100-L2:0.0001,0.2405036817012518
Epoch:9-Lr:0.0003-BatchSize:128-EmbeddingSize:100-L2:1e-05,0.3205458865806297
Epoch:2-Lr:0.009-BatchSize:200-EmbeddingSize:100-L2:0.0001,0.1802751916999374
Epoch:7-Lr:0.0008-BatchSize:20-EmbeddingSize:100-L2:0.0001,0.2309839400397705
Epoch:2-Lr:0.009-BatchSize:20-EmbeddingSize:100-L2:1e-05,0.2286079003514655
Epoch:5-Lr:0.01-BatchSize:100-EmbeddingSize:150-L2:0.0001,0.1804902101444655
Epoch:12-Lr:0.002-BatchSize:128-EmbeddingSize:150-L2:0.0001,0.2607401961328129
Epoch:3-Lr:0.003-BatchSize:128-EmbeddingSize:100-L2:0.0001,0.2337233976427294
Epoch:2-Lr:0.004-BatchSize:20-EmbeddingSize:150-L2:1e-05,0.2600712652029883
Epoch:5-Lr:0.01-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.2750884650950935
Epoch:8-Lr:0.0006-BatchSize:100-EmbeddingSize:150-L2:0.0001,0.2507510358514492
Epoch:6-Lr:0.0008-BatchSize:128-EmbeddingSize:100-L2:1e-05,0.3330270754421418
Epoch:2-Lr:0.009-BatchSize:100-EmbeddingSize:150-L2:1e-05,0.2670115967491182
Epoch:4-Lr:0.0009-BatchSize:128-EmbeddingSize:100-L2:1e-05,0.3338135916878463
Epoch:3-Lr:0.007-BatchSize:32-EmbeddingSize:100-L2:0.0001,0.1276586239140172
Epoch:4-Lr:0.0005-BatchSize:20-EmbeddingSize:100-L2:1e-05,0.3089955520046999
Epoch:9-Lr:0.0002-BatchSize:100-EmbeddingSize:150-L2:1e-05,0.3127272787777694
Epoch:5-Lr:0.006-BatchSize:32-EmbeddingSize:150-L2:0.0001,0.1559227068300911
Epoch:3-Lr:0.001-BatchSize:20-EmbeddingSize:150-L2:1e-05,0.2916386472455737
Epoch:4-Lr:0.0007-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.3505725737636722
Epoch:9-Lr:0.0004-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.3223120416072337
Epoch:5-Lr:0.01-BatchSize:32-EmbeddingSize:150-L2:1e-05,0.2148422206900939
Epoch:17-Lr:1e-04-BatchSize:32-EmbeddingSize:150-L2:0.0001,0.2518111624627377
Epoch:4-Lr:0.0008-BatchSize:100-EmbeddingSize:150-L2:1e-05,0.3362856324815352
Epoch:21-Lr:1e-04-BatchSize:100-EmbeddingSize:150-L2:1e-05,0.3169675467218448
Epoch:8-Lr:0.0005-BatchSize:128-EmbeddingSize:100-L2:1e-05,0.3228630057748281
Epoch:4-Lr:0.0007-BatchSize:128-EmbeddingSize:150-L2:1e-05,0.3191990035970589
Epoch:18-Lr:0.0006-BatchSize:200-EmbeddingSize:100-L2:0.0001,0.3072547691011973
Epoch:4-Lr:0.01-BatchSize:20-EmbeddingSize:150-L2:0.0001,0.0626963743687567
Epoch:2-Lr:0.008-BatchSize:20-EmbeddingSize:100-L2:0.0001,0.1371045551012492
Epoch:5-Lr:0.001-BatchSize:100-EmbeddingSize:150-L2:1e-05,0.3173584443569335
Epoch:4-Lr:0.005-BatchSize:100-EmbeddingSize:150-L2:1e-05,0.3085284784892848
Epoch:6-Lr:0.001-BatchSize:32-EmbeddingSize:100-L2:0.0001,0.2488224762711581
Epoch:11-Lr:0.0002-BatchSize:32-EmbeddingSize:150-L2:1e-05,0.3329303198411787
Epoch:4-Lr:0.0007-BatchSize:20-EmbeddingSize:100-L2:1e-05,0.3306349129392735
Epoch:3-Lr:0.001-BatchSize:32-EmbeddingSize:150-L2:1e-05,0.2988329135723493
Epoch:3-Lr:0.005-BatchSize:100-EmbeddingSize:150-L2:0.0001,0.2094382242641167
Epoch:23-Lr:1e-04-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.3196379686476271
Epoch:6-Lr:0.0007-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.3239374487953835
Epoch:15-Lr:0.0001-BatchSize:128-EmbeddingSize:100-L2:1e-05,0.2676168629725188
Epoch:4-Lr:0.005-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.500535197165955
Epoch:6-Lr:0.005-BatchSize:100-EmbeddingSize:100-L2:1e-05,0.45309635296584627
