SessionId	ItemId	CatId	Time
11272202	214568124	7	1411462780.513
11272202	214853848	3	1411462790.659
11272202	214853182	3	1411462829.264
11272203	214680682	1	1411542474.94
11272203	214708200	1	1411542586.417
11272203	214697435	5	1411542730.223
11272203	214697360	5	1411542750.726
11272203	214697490	1	1411543054.214
11272203	214711277	1	1411543064.946
11272203	214646747	1	1411543098.544
11272203	214678918	1	1411543338.663
11272203	214650527	1	1411543374.505
11272203	214678918	1	1411543421.449
11272203	214700737	1	1411543577.254
11272203	214838186	1	1411543596.104
11272203	214637816	1	1411543645.79
11272203	214718289	1	1411543680.522
11272203	214852209	1	1411543843.72
11272203	214852187	1	1411543876.821
11272203	214695050	1	1411543907.807
11272203	214852198	1	1411543972.11
11272203	214705117	1	1411544002.472
11272203	214695082	1	1411544025.532
11272203	214672852	1	1411544064.931
11272203	214640342	1	1411544109.984
11272203	214838162	1	1411544154.178
11272203	214838162	1	1411544228.59
11272203	214650527	1	1411544248.53
11272203	214848257	1	1411544275.566
11272203	214848260	1	1411544339.239
11272203	214695097	1	1411544395.627
11272203	214695092	1	1411544424.614
11272203	214565501	5	1411544520.028
11272203	214745312	5	1411544532.711
11272204	214565501	5	1411551221.719
11272204	214641129	5	1411551291.041
11272204	214674405	5	1411551388.973
11272204	214563253	5	1411551537.031
11272204	214676006	5	1411551560.946
11272207	214845956	5	1411572705.275
11272207	214845956	5	1411575197.911
11272207	214845956	5	1411578230.844
11272213	214743341	2	1411725407.272
11272213	214845476	2	1411726244.329
11272213	214743341	2	1411727564.342
11272217	214853105	3	1411707202.197
11272217	214853077	3	1411707234.186
11272231	214716975	1	1411706862.647
11272231	214716975	1	1411707192.208
11272231	214716977	1	1411707234.058
11272231	214716977	1	1411707286.166
11272231	214716945	1	1411707320.968
11272231	214716928	1	1411707367.614
11272231	214716984	1	1411707425.795
11272231	214716990	1	1411707467.859
11272231	214716982	1	1411707574.523
11272231	214846477	0	1411708387.485
11272231	214578350	1	1411708431.078
11272231	214561991	1	1411708448.838
11272231	214849747	1	1411708460.649
11272233	214577717	5	1411664735.665
11272233	214577711	5	1411664755.004
11272233	214510451	5	1411665407.077
11272233	214577717	5	1411665811.705
11272233	214577711	5	1411665826.372
11272237	214839718	10	1411823575.951
11272237	214858670	8	1411823676.688
11272237	214533350	8	1411824070.612
11272237	214551388	8	1411824249.82
11272237	214551305	8	1411824348.497
11272237	214658880	8	1411824443.078
11272237	214639200	0	1411824655.578
11272237	214639202	0	1411824759.134
11272237	214639207	0	1411824885.32
11272237	214652975	8	1411824924.285
11272237	214639200	0	1411825222.159
11272238	214717867	1	1411712041.648
11272238	214717867	1	1411713263.255
11272238	214748327	1	1411713307.83
11272238	214717867	1	1411713413.054
11272238	214855183	1	1411713429.731
11272238	214717867	1	1411713533.529
11272238	214716982	1	1411713556.619
11272238	214717867	1	1411713574.485
11272238	214716984	1	1411713591.188
11272238	214717867	1	1411713678.786
11272248	214546046	2	1411555613.529
11272248	214539506	2	1411555629.802
11272248	214509787	2	1411555634.035
11272249	214595855	0	1411565681.016
11272249	214516194	2	1411565907.926
11272262	214851326	3	1411796924.234
11272262	214853090	3	1411797135.104
11272262	214853090	3	1411797187.275
